"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 23 14:33:00 ICT 2023","Fri Jun 23 14:33:55 ICT 2023","55325","","SignUp, Sign In and Purchase Product: TC_003 Add product to Online Cart an checkout","","","","When I Add below the product to cart",""
"passed","Fri Jun 23 17:38:04 ICT 2023","Fri Jun 23 17:38:04 ICT 2023","4","","SignUp, Sign In and Purchase Product: TC_003 Add product to Online Cart an checkout","","","","",""
"passed","Mon Jun 26 09:52:03 ICT 2023","Mon Jun 26 09:52:29 ICT 2023","25828","","SignUp, Sign In and Purchase Product: TC_001 Create New user/SignUp","","","","And User changes the address of the checkout",""
"passed","Thu Jun 22 11:30:59 ICT 2023","Thu Jun 22 11:31:00 ICT 2023","96","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Then I should see a flash message saying Your username is invalid!",""
"passed","Thu Jun 22 11:30:58 ICT 2023","Thu Jun 22 11:30:58 ICT 2023","590","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Given I am on the login page",""
"skipped","Fri Jun 23 13:51:03 ICT 2023","Fri Jun 23 13:51:03 ICT 2023","1","","SignUp, Sign In and Purchase Product: TC_002 Sign In with newly created user credentials","","","","When Login using newly created user credentials",""
"passed","Mon Jun 26 09:51:48 ICT 2023","Mon Jun 26 09:51:50 ICT 2023","2015","","SignUp, Sign In and Purchase Product: TC_001 Create New user/SignUp","","","","Then Navigate to SignUp page",""
"passed","Thu Jun 22 11:30:58 ICT 2023","Thu Jun 22 11:30:59 ICT 2023","1046","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","When I login with foobar and barfoo",""
"passed","Thu Jun 22 11:30:56 ICT 2023","Thu Jun 22 11:30:58 ICT 2023","1998","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","When I login with tomsmith and SuperSecretPassword!",""
"passed","Thu Jun 22 11:30:58 ICT 2023","Thu Jun 22 11:30:58 ICT 2023","131","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Then I should see a flash message saying You logged into a secure area!",""
"passed","Mon Jun 26 09:52:56 ICT 2023","Mon Jun 26 09:52:56 ICT 2023","1","","SignUp, Sign In and Purchase Product: TC_001 Create New user/SignUp","","","","",""
"passed","Fri Jun 23 17:36:52 ICT 2023","Fri Jun 23 17:37:04 ICT 2023","12119","","SignUp, Sign In and Purchase Product: TC_003 Add product to Online Cart an checkout","","","","When Login using newly created user credentials",""
"skipped","Fri Jun 23 13:51:03 ICT 2023","Fri Jun 23 13:51:03 ICT 2023","2","","SignUp, Sign In and Purchase Product: TC_002 Sign In with newly created user credentials","","","","Then I shall verify that the user information",""
"broken","Thu Jun 22 15:34:50 ICT 2023","Thu Jun 22 15:34:50 ICT 2023","80","","SignUp, Sign In and Purchase Product: TC_001 Create New user/SignUp","","","","Given I load locators from file into global variable",""
"unknown","Fri Jun 23 13:50:03 ICT 2023","Fri Jun 23 13:51:03 ICT 2023","60052","","SignUp, Sign In and Purchase Product: TC_002 Sign In with newly created user credentials","","","","Given I am on the Sign In page",""
"passed","Mon Jun 26 09:51:46 ICT 2023","Mon Jun 26 09:51:48 ICT 2023","2010","","SignUp, Sign In and Purchase Product: TC_001 Create New user/SignUp","","","","Given I am on the home page",""
"passed","Fri Jun 23 17:36:37 ICT 2023","Fri Jun 23 17:36:52 ICT 2023","15055","","SignUp, Sign In and Purchase Product: TC_003 Add product to Online Cart an checkout","","","","Given I am on the Sign In page",""
"passed","Mon Jun 26 09:52:29 ICT 2023","Mon Jun 26 09:52:42 ICT 2023","13130","","SignUp, Sign In and Purchase Product: TC_001 Create New user/SignUp","","","","And I am on the contact page",""
"broken","Fri Jun 23 17:37:04 ICT 2023","Fri Jun 23 17:38:04 ICT 2023","60018","","SignUp, Sign In and Purchase Product: TC_003 Add product to Online Cart an checkout","","","","And User changes the address of the checkout",""
"passed","Fri Jun 23 13:51:03 ICT 2023","Fri Jun 23 13:51:03 ICT 2023","2","","SignUp, Sign In and Purchase Product: TC_002 Sign In with newly created user credentials","","","","",""
"broken","Mon Jun 26 10:03:22 ICT 2023","Mon Jun 26 10:04:20 ICT 2023","58076","","SignUp, Sign In and Purchase Product","","","","TC_001 Create New user/SignUp",""
"passed","Mon Jun 26 09:51:50 ICT 2023","Mon Jun 26 09:52:03 ICT 2023","12798","","SignUp, Sign In and Purchase Product: TC_001 Create New user/SignUp","","","","And Create an account with the random username",""
"passed","Mon Jun 26 09:52:42 ICT 2023","Mon Jun 26 09:52:56 ICT 2023","13990","","SignUp, Sign In and Purchase Product: TC_001 Create New user/SignUp","","","","Then I send refund request to customer care for prev. oder",""
"passed","Thu Jun 22 11:31:00 ICT 2023","Thu Jun 22 11:31:00 ICT 2023","2","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
